id,name,status,species,type,gender,origin_id,origin_name,origin_url,location_id,location_name,location_url,image_url,image_file,episode_ids,episode_urls,url,created
1,Rick Sanchez,Alive,Human,,Male,1,Earth (C-137),https://rickandmortyapi.com/api/location/1,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/1.jpeg,images/characters/001-rick-sanchez.jpeg,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51,https://rickandmortyapi.com/api/episode/1|https://rickandmortyapi.com/api/episode/2|https://rickandmortyapi.com/api/episode/3|https://rickandmortyapi.com/api/episode/4|https://rickandmortyapi.com/api/episode/5|https://rickandmortyapi.com/api/episode/6|https://rickandmortyapi.com/api/episode/7|https://rickandmortyapi.com/api/episode/8|https://rickandmortyapi.com/api/episode/9|https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/11|https://rickandmortyapi.com/api/episode/12|https://rickandmortyapi.com/api/episode/13|https://rickandmortyapi.com/api/episode/14|https://rickandmortyapi.com/api/episode/15|https://rickandmortyapi.com/api/episode/16|https://rickandmortyapi.com/api/episode/17|https://rickandmortyapi.com/api/episode/18|https://rickandmortyapi.com/api/episode/19|https://rickandmortyapi.com/api/episode/20|https://rickandmortyapi.com/api/episode/21|https://rickandmortyapi.com/api/episode/22|https://rickandmortyapi.com/api/episode/23|https://rickandmortyapi.com/api/episode/24|https://rickandmortyapi.com/api/episode/25|https://rickandmortyapi.com/api/episode/26|https://rickandmortyapi.com/api/episode/27|https://rickandmortyapi.com/api/episode/28|https://rickandmortyapi.com/api/episode/29|https://rickandmortyapi.com/api/episode/30|https://rickandmortyapi.com/api/episode/31|https://rickandmortyapi.com/api/episode/32|https://rickandmortyapi.com/api/episode/33|https://rickandmortyapi.com/api/episode/34|https://rickandmortyapi.com/api/episode/35|https://rickandmortyapi.com/api/episode/36|https://rickandmortyapi.com/api/episode/37|https://rickandmortyapi.com/api/episode/38|https://rickandmortyapi.com/api/episode/39|https://rickandmortyapi.com/api/episode/40|https://rickandmortyapi.com/api/episode/41|https://rickandmortyapi.com/api/episode/42|https://rickandmortyapi.com/api/episode/43|https://rickandmortyapi.com/api/episode/44|https://rickandmortyapi.com/api/episode/45|https://rickandmortyapi.com/api/episode/46|https://rickandmortyapi.com/api/episode/47|https://rickandmortyapi.com/api/episode/48|https://rickandmortyapi.com/api/episode/49|https://rickandmortyapi.com/api/episode/50|https://rickandmortyapi.com/api/episode/51,https://rickandmortyapi.com/api/character/1,2017-11-04T18:48:46.250Z
2,Morty Smith,Alive,Human,,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/2.jpeg,images/characters/002-morty-smith.jpeg,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51,https://rickandmortyapi.com/api/episode/1|https://rickandmortyapi.com/api/episode/2|https://rickandmortyapi.com/api/episode/3|https://rickandmortyapi.com/api/episode/4|https://rickandmortyapi.com/api/episode/5|https://rickandmortyapi.com/api/episode/6|https://rickandmortyapi.com/api/episode/7|https://rickandmortyapi.com/api/episode/8|https://rickandmortyapi.com/api/episode/9|https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/11|https://rickandmortyapi.com/api/episode/12|https://rickandmortyapi.com/api/episode/13|https://rickandmortyapi.com/api/episode/14|https://rickandmortyapi.com/api/episode/15|https://rickandmortyapi.com/api/episode/16|https://rickandmortyapi.com/api/episode/17|https://rickandmortyapi.com/api/episode/18|https://rickandmortyapi.com/api/episode/19|https://rickandmortyapi.com/api/episode/20|https://rickandmortyapi.com/api/episode/21|https://rickandmortyapi.com/api/episode/22|https://rickandmortyapi.com/api/episode/23|https://rickandmortyapi.com/api/episode/24|https://rickandmortyapi.com/api/episode/25|https://rickandmortyapi.com/api/episode/26|https://rickandmortyapi.com/api/episode/27|https://rickandmortyapi.com/api/episode/28|https://rickandmortyapi.com/api/episode/29|https://rickandmortyapi.com/api/episode/30|https://rickandmortyapi.com/api/episode/31|https://rickandmortyapi.com/api/episode/32|https://rickandmortyapi.com/api/episode/33|https://rickandmortyapi.com/api/episode/34|https://rickandmortyapi.com/api/episode/35|https://rickandmortyapi.com/api/episode/36|https://rickandmortyapi.com/api/episode/37|https://rickandmortyapi.com/api/episode/38|https://rickandmortyapi.com/api/episode/39|https://rickandmortyapi.com/api/episode/40|https://rickandmortyapi.com/api/episode/41|https://rickandmortyapi.com/api/episode/42|https://rickandmortyapi.com/api/episode/43|https://rickandmortyapi.com/api/episode/44|https://rickandmortyapi.com/api/episode/45|https://rickandmortyapi.com/api/episode/46|https://rickandmortyapi.com/api/episode/47|https://rickandmortyapi.com/api/episode/48|https://rickandmortyapi.com/api/episode/49|https://rickandmortyapi.com/api/episode/50|https://rickandmortyapi.com/api/episode/51,https://rickandmortyapi.com/api/character/2,2017-11-04T18:50:21.651Z
3,Summer Smith,Alive,Human,,Female,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/3.jpeg,images/characters/003-summer-smith.jpeg,6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|34|35|36|38|39|40|41|42|43|44|45|46|47|48|49|51,https://rickandmortyapi.com/api/episode/6|https://rickandmortyapi.com/api/episode/7|https://rickandmortyapi.com/api/episode/8|https://rickandmortyapi.com/api/episode/9|https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/11|https://rickandmortyapi.com/api/episode/12|https://rickandmortyapi.com/api/episode/14|https://rickandmortyapi.com/api/episode/15|https://rickandmortyapi.com/api/episode/16|https://rickandmortyapi.com/api/episode/17|https://rickandmortyapi.com/api/episode/18|https://rickandmortyapi.com/api/episode/19|https://rickandmortyapi.com/api/episode/20|https://rickandmortyapi.com/api/episode/21|https://rickandmortyapi.com/api/episode/22|https://rickandmortyapi.com/api/episode/23|https://rickandmortyapi.com/api/episode/24|https://rickandmortyapi.com/api/episode/25|https://rickandmortyapi.com/api/episode/26|https://rickandmortyapi.com/api/episode/27|https://rickandmortyapi.com/api/episode/29|https://rickandmortyapi.com/api/episode/30|https://rickandmortyapi.com/api/episode/31|https://rickandmortyapi.com/api/episode/32|https://rickandmortyapi.com/api/episode/33|https://rickandmortyapi.com/api/episode/34|https://rickandmortyapi.com/api/episode/35|https://rickandmortyapi.com/api/episode/36|https://rickandmortyapi.com/api/episode/38|https://rickandmortyapi.com/api/episode/39|https://rickandmortyapi.com/api/episode/40|https://rickandmortyapi.com/api/episode/41|https://rickandmortyapi.com/api/episode/42|https://rickandmortyapi.com/api/episode/43|https://rickandmortyapi.com/api/episode/44|https://rickandmortyapi.com/api/episode/45|https://rickandmortyapi.com/api/episode/46|https://rickandmortyapi.com/api/episode/47|https://rickandmortyapi.com/api/episode/48|https://rickandmortyapi.com/api/episode/49|https://rickandmortyapi.com/api/episode/51,https://rickandmortyapi.com/api/character/3,2017-11-04T19:09:56.428Z
4,Beth Smith,Alive,Human,,Female,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/4.jpeg,images/characters/004-beth-smith.jpeg,6|7|8|9|10|11|12|14|15|16|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|38|39|40|41|42|43|44|45|46|47|48|49|51,https://rickandmortyapi.com/api/episode/6|https://rickandmortyapi.com/api/episode/7|https://rickandmortyapi.com/api/episode/8|https://rickandmortyapi.com/api/episode/9|https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/11|https://rickandmortyapi.com/api/episode/12|https://rickandmortyapi.com/api/episode/14|https://rickandmortyapi.com/api/episode/15|https://rickandmortyapi.com/api/episode/16|https://rickandmortyapi.com/api/episode/18|https://rickandmortyapi.com/api/episode/19|https://rickandmortyapi.com/api/episode/20|https://rickandmortyapi.com/api/episode/21|https://rickandmortyapi.com/api/episode/22|https://rickandmortyapi.com/api/episode/23|https://rickandmortyapi.com/api/episode/24|https://rickandmortyapi.com/api/episode/25|https://rickandmortyapi.com/api/episode/26|https://rickandmortyapi.com/api/episode/27|https://rickandmortyapi.com/api/episode/28|https://rickandmortyapi.com/api/episode/29|https://rickandmortyapi.com/api/episode/30|https://rickandmortyapi.com/api/episode/31|https://rickandmortyapi.com/api/episode/32|https://rickandmortyapi.com/api/episode/33|https://rickandmortyapi.com/api/episode/34|https://rickandmortyapi.com/api/episode/35|https://rickandmortyapi.com/api/episode/36|https://rickandmortyapi.com/api/episode/38|https://rickandmortyapi.com/api/episode/39|https://rickandmortyapi.com/api/episode/40|https://rickandmortyapi.com/api/episode/41|https://rickandmortyapi.com/api/episode/42|https://rickandmortyapi.com/api/episode/43|https://rickandmortyapi.com/api/episode/44|https://rickandmortyapi.com/api/episode/45|https://rickandmortyapi.com/api/episode/46|https://rickandmortyapi.com/api/episode/47|https://rickandmortyapi.com/api/episode/48|https://rickandmortyapi.com/api/episode/49|https://rickandmortyapi.com/api/episode/51,https://rickandmortyapi.com/api/character/4,2017-11-04T19:22:43.665Z
5,Jerry Smith,Alive,Human,,Male,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/5.jpeg,images/characters/005-jerry-smith.jpeg,6|7|8|9|10|11|12|13|14|15|16|18|19|20|21|22|23|26|29|30|31|32|33|35|36|38|39|40|41|42|43|44|45|46|47|48|49|50|51,https://rickandmortyapi.com/api/episode/6|https://rickandmortyapi.com/api/episode/7|https://rickandmortyapi.com/api/episode/8|https://rickandmortyapi.com/api/episode/9|https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/11|https://rickandmortyapi.com/api/episode/12|https://rickandmortyapi.com/api/episode/13|https://rickandmortyapi.com/api/episode/14|https://rickandmortyapi.com/api/episode/15|https://rickandmortyapi.com/api/episode/16|https://rickandmortyapi.com/api/episode/18|https://rickandmortyapi.com/api/episode/19|https://rickandmortyapi.com/api/episode/20|https://rickandmortyapi.com/api/episode/21|https://rickandmortyapi.com/api/episode/22|https://rickandmortyapi.com/api/episode/23|https://rickandmortyapi.com/api/episode/26|https://rickandmortyapi.com/api/episode/29|https://rickandmortyapi.com/api/episode/30|https://rickandmortyapi.com/api/episode/31|https://rickandmortyapi.com/api/episode/32|https://rickandmortyapi.com/api/episode/33|https://rickandmortyapi.com/api/episode/35|https://rickandmortyapi.com/api/episode/36|https://rickandmortyapi.com/api/episode/38|https://rickandmortyapi.com/api/episode/39|https://rickandmortyapi.com/api/episode/40|https://rickandmortyapi.com/api/episode/41|https://rickandmortyapi.com/api/episode/42|https://rickandmortyapi.com/api/episode/43|https://rickandmortyapi.com/api/episode/44|https://rickandmortyapi.com/api/episode/45|https://rickandmortyapi.com/api/episode/46|https://rickandmortyapi.com/api/episode/47|https://rickandmortyapi.com/api/episode/48|https://rickandmortyapi.com/api/episode/49|https://rickandmortyapi.com/api/episode/50|https://rickandmortyapi.com/api/episode/51,https://rickandmortyapi.com/api/character/5,2017-11-04T19:26:56.301Z
6,Abadango Cluster Princess,Alive,Alien,,Female,2,Abadango,https://rickandmortyapi.com/api/location/2,2,Abadango,https://rickandmortyapi.com/api/location/2,https://rickandmortyapi.com/api/character/avatar/6.jpeg,images/characters/006-abadango-cluster-princess.jpeg,27,https://rickandmortyapi.com/api/episode/27,https://rickandmortyapi.com/api/character/6,2017-11-04T19:50:28.250Z
7,Abradolf Lincler,unknown,Human,Genetic experiment,Male,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,21,Testicle Monster Dimension,https://rickandmortyapi.com/api/location/21,https://rickandmortyapi.com/api/character/avatar/7.jpeg,images/characters/007-abradolf-lincler.jpeg,10|11,https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/11,https://rickandmortyapi.com/api/character/7,2017-11-04T19:59:20.523Z
8,Adjudicator Rick,Dead,Human,,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/8.jpeg,images/characters/008-adjudicator-rick.jpeg,28,https://rickandmortyapi.com/api/episode/28,https://rickandmortyapi.com/api/character/8,2017-11-04T20:03:34.737Z
9,Agency Director,Dead,Human,,Male,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/9.jpeg,images/characters/009-agency-director.jpeg,24,https://rickandmortyapi.com/api/episode/24,https://rickandmortyapi.com/api/character/9,2017-11-04T20:06:54.976Z
10,Alan Rails,Dead,Human,Superhuman (Ghost trains summoner),Male,,unknown,,4,Worldender's lair,https://rickandmortyapi.com/api/location/4,https://rickandmortyapi.com/api/character/avatar/10.jpeg,images/characters/010-alan-rails.jpeg,25,https://rickandmortyapi.com/api/episode/25,https://rickandmortyapi.com/api/character/10,2017-11-04T20:19:09.017Z
