id,name,wiki_title,wiki_url,description_source_text,source_ids,status,notes
1,Earth (C-137),Dimension C-137,https://rickandmorty.fandom.com/wiki/Dimension_C-137,"Dimension C-137 is one of the many universes in the multiverse, and the original universe where the titular Rick was born and grew up. This is one of many dimensions where Rick's wife Diane and daughter Beth were killed when Beth was a child, and as a result, Summer and Morty never existed. Before it was revealed that the Rick and Morty we follow in the show are each from different dimensions, ""Dimension C-137"" was thought, including by Morty himself, to refer to the Prime Dimension where our Morty originated and the first six episodes of the TV series took place.

Rick returns to this dimension in ""Solaricks"", where it is revealed he kept the entire dimension on a time loop of the day he lost Beth and Diane, leaving its inhabitants trapped for decades. As part of his effort to move on, Rick gets rid of the time loop, giving his neighbor Mr. Goldmanbachmajorian, and likely most of Earth's population, the relief of death.

Dimension C-137 is first mentioned in ""Raising Gazorpazorp"", by Rick himself. Morty also refers to himself as ""from Dimension C-137"", unaware that he is not from the same dimension as Rick.

Dimension C-137 is briefly mentioned in ""Mortynight Run"", when Rick is asked to identify his home dimension for identification purposes when returning to pick up his Jerry. Because Jerry is not from Rick's home dimension of C-137, Rick marks him as ""N/A"". This might mean that Rick is (or was) uncertain of their current dimension's official alphanumeric identification.

Dimension C-137 is mentioned in ""The Rickshank Rickdemption"", when several Ricks from the Citadel capture Morty and Summer in the Prime dimension. Morty identifies himself as ""Morty C-137"", which causes two of the Ricks to look at one another and take pause. This is likely because of Rick C-137's notoriety as a ""terror-rick"", and that the Council would've been aware that there is no naturally occurring ""Morty C-137"" in existence. Other Council members again refer to Rick as ""C-137"" in this episode, meaning Rick has been intentionally identifying himself accurately.

Rick showed Cornvelious Daniel a ""memory"" taking place in Dimension C-137 after their detour for Szechuan sauce. While Rick was trying to invent the Portal Gun, an alternate Rick appeared from a dimension where he had already discovered interdimensional travel. His alternate self then allegedly offered to actively share the secrets of this fabled technology with Rick C-137. After some reflection, thinking the ""Infinite Rick"" life sounded lonely and unfulfilling, Rick C-137 refused and seemingly decided to forge his own destiny, or in his words to be ""a different kind of Rick..."", giving up on science to spend more time with his family. The alternate Rick seemed to be visibly offended at C-137's refusal, and likely sent a bomb through a green portal to kill him shortly thereafter. It may also been speculated that his intent was actually to kill Rick's wife Diane, and daughter Beth in a bid to force C-137 to change his mind. After the commercial break, Rick's younger self is then shown rapidly calculating the math required to complete the portal gun and inventing interdimensional travel. However, Rick then humorously claimed the entire sequence was a ""totally fabricated origin story"", and ""the three lines of math"" disclosed to the agent (and uploaded to his superiors) was actually a virus designed to take control of the outdated Brainalyzer. This statement was later shown to be only partially accurate.

In ""Rickternal Friendshine of the Spotless Mort"", it was revealed that Rick came from a dimension where Beth died, meaning the Prime dimension and Dimension C-137 are not the same. Dimension C-137 itself does not appear in any of Birdperson's memories from this episode since Rick left this dimension before meeting Birdperson. It makes its first appearance at the end of the episode, within Rick's memory of his childhood.

When Morty views Rick's brain scan in ""Rickmurai Jack"", it confirms that most of the events from Rick's ""totally fabricated"" brainalyzed memory sequence in ""The Rickshank Rickdemption"" did in fact happen, and the only difference from the fabrication was that after Diane and Beth died, Rick did not immediately invent the portal gun, but instead went in an ambulance to heal his wounds from the explosion. Afterward, Rick lived by himself for some time before shaking off the trauma and deciding to finish the portal gun on his own terms.

Rick returns to this dimension in ""Solaricks"" where it is revealed he kept the entire dimension on a time loop of the day he lost Beth and Diane, leaving its inhabitants trapped for decades. As part of his effort to move on, Rick gets rid of the time loop, allowing his neighbor Mr. Goldmanbachmajorian the relief of death.",locations-1-wiki|locations-1-api,ok,
2,Abadango,Abadongian Princess,https://rickandmorty.fandom.com/wiki/Abadongian_Princess,The Abadongian Princess is the ruling monarch over the Abadongians in the Abadongo Cluster. She appears briefly in the episode Rest and Ricklaxation.,locations-2-wiki|locations-2-api,ok,
3,Citadel of Ricks,The Citadel,https://rickandmorty.fandom.com/wiki/The_Citadel,"The Citadel, originally known as The Citadel of Ricks, was a trans-dimensional citadel city-state inhabited entirely by Ricks and Mortys from across infinite realities. The Citadel worked like Furp Rock; located in a pocket dimension not related to any reality. You can reach the Citadel from any dimension of the Central Finite Curve reaching the certain coordinates in space.

The Citadel was formed as a secret entity serving to protect Ricks and Mortys from a multitude of accumulated enemies within the Galaxy, including Rick C-137 and the Galactic Federation. Prior to the election of President Morty The Citadel was controlled by the Council of Ricks and, after the partial destruction of The Citadel during a conflict with the Federation, the secretive Shadow Council.

The Citadel was populated by Ricks and Mortys from across the Central Finite Curve and utilised as a leisure place, meeting point and place of protection for many Ricks and Mortys. However, the Citadel also served as a permanent residence for an untold number of Ricks and Mortys that decided to settle at there. Though its true population remained unknown and has never been mentioned, Rick once stated ""Whoever is still exploring the Citadel, is either stupid, or one of the unfortunate millions held hostage by their terrible ideas,"" suggesting that the population count was well into the millions (although he was probably referring to the audience).

Mortys were revealed to be mass produced as clones in the Citadel to be dispatched to Ricks as sidekicks and cloaking devices to hide Ricks from dangers. The clones were needed for those Ricks whose original Mortys died or came from universes where Morty was never born. These Mortys were imbued with desirable subservient traits described as being 'bred for forgiveness'. The Citadel also influenced Beth and Jerry's relationship in various universes to make sure there were still a steady supply of naturally-born Mortys.

In ""The Rickshank Rickdemption"" Rick C-137 teleported the Citadel in Galactic Federation Prison in his dimension which destroyed both locations causing chaos and conflict between two fractions. By the event's of ""Ricklantis Mixup"" the Citadel had been rebuilt. Evil Morty, hiding his true identity and motives, ran for president under the ""Morty Party"" under the guise of unity and populism. Following an assassination attempt by his former campaign manager who learned his identity, Evil Morty won the election by a close margin and became the president of the Citadel.

Following the events of ""The Rickshank Rickdemption"", The Citadel came under the authoritarian rule of Evil Morty who, after being elected president of the Citadel, committed a series of unprecedented purges against the de facto ruling Shadow Council and other personal political enemies. From this point up until its destruction, President Morty had remained the absolute dictatorial leader of The Citadel.

In ""Rickmurai Jack"" the Citadel was ultimately destroyed after Evil Morty set off a chain reaction of events that kills all the Ricks and most of the Mortys in the Citadel and ultimately exploded after Evil Morty broke through the Central Finite Curve. Rick C-137 and Morty managed to detach Mortyburg from the rest of the city and was ultimately spared destruction however.

Following the Citadel's destruction, the remains became a refugee shelter for cloned Ricks and Mortys created in the Citadel who were teleported there after the portal reset in ""Solaricks"" because they didn't have a home reality to return to. In ""The Rick, The Mort & The Ugly"" one of the Rick clones, Boss Hog Rick, attempted to rebuild a new Citadel out of the ruins of the old one. This all came crashing down, however, when Homesteader Rick destroyed the under-construction Citadel and killed Boss Hog Rick and all of his workers in order to give his enslaved cloned Mortys a chance at life without Ricks.

Through various universes, Rick has been involved through resistance groups against the Galactic Federation, as well as other groups who consider his genius a threat, such as galactic terrorists, sub-galactic dictators and most of the entire Intergalactic government. To protect themselves and hide from opposing groups, a ""few thousand"" alternate versions of Rick decided to join together and create their own society. In its early stages, this society came into conflict with Rick C-137 who began killing many of its members as he hunted for Rick Prime, the Rick he believed to have killed his family. After C-137 had killed a great many of his counterparts, he and the alliance brokered a peace treaty, one that saw C-137 help design and construct the Citadel. The Citadel is known to have existed for at least 15 years, which predates main Morty's birth. As revealed in Season 5, different dimensions have Ricks and Mortys at varying ages so Mortys may have existed when it was founded.

The Citadel also had armed forces headed by a commander-in-chief comprised mostly",locations-3-wiki|locations-3-api,ok,
4,Worldender's lair,Vindicators 3: The Return of Worldender/Transcript,https://rickandmorty.fandom.com/wiki/Vindicators_3%3A_The_Return_of_Worldender%2FTranscript,"NOTE: Because a drunken Rick on a video recording is treated as a separate character by others, ""Drunk Rick"" will be noted here separately from ""Rick"".",locations-4-wiki|locations-4-api,ok,
5,Anatomy Park,Anatomy Park (episode),https://rickandmorty.fandom.com/wiki/Anatomy_Park_(episode),"""Anatomy Park"" is the third episode of the first season of Rick and Morty. It is the third episode of the series overall. It premiered on December 16, 2013. It was written by Eric Acosta and Wade Randolph, and directed by John Rice. The episode is rated TV-14-DLSV.",locations-5-wiki|locations-5-api,ok,
6,Interdimensional Cable,Interdimensional Cable,https://rickandmorty.fandom.com/wiki/Interdimensional_Cable,"The Interdimensional Cable is a cable box invented by Rick that gives access to television shows across every dimension.

Rick introduced it in the episode Rixty Minutes. It is a cable box that has access to all of the TV shows in the entire multiverse. The interdimensional cable can receive all of the TV channels from every planet, dimension, universe, reality, etc. and broadcast it right on whatever television it is hooked up to. Rick creates it by attaching Crystallized Xanthenite into the box.",locations-6-wiki|locations-6-api,ok,
7,Immortality Field Resort,Immortality Field Resort,https://rickandmorty.fandom.com/wiki/Immortality_Field_Resort,"Immortality Field Resort is a luxury resort built inside an immortality field. Rick brought Jerry here in the episode ""The Whirly Dirly Conspiracy"" on Morty's request.

The area in which the resort resides was once the kingdom of the Brosephamons. The kingdom was at one point usurped by another alien race using weapons supplied by Rick, enslaving the native aliens to work at the resort.

By Morty's wish, Rick brought Jerry to this resort in order to cheer him up. Once they had arrived Rick was attacked and killed by Shnoopy Bloopers, who in turn was killed by Rick; before resurrecting back to life due to the immortality field. Jerry would later be forced into a backroom by Risotto Groupon and his henchmen to be included in a plot against Rick. This lead Jerry and Rick onto the Whirly Dirly, a popular theme park ride at the resort, where Risotto had positioned assassins to kill Rick. Jerry would then get cold feet and save Rick on the ride, with Rick defeating both Risotto's assassins and henchmen, as well as destroying the immortality field.",locations-7-wiki|locations-7-api,ok,
8,Post-Apocalyptic Earth,Post-Apocalyptic Dimension,https://rickandmorty.fandom.com/wiki/Post-Apocalyptic_Dimension,"The Post-Apocalyptic Dimension is a post-apocalyptic version of Earth that was visited by Rick, Morty and Summer. It was first seen in the episode, ""Rickmancing the Stone"". It is known to be inhabited by Hemorrhage and Eli.

An explosion called the ""boom boom"", had occurred, separating those who had survived into two groups; those who accepted the 'new truth', and those who kept the old beliefs from before the change. Radiation rotted away those who believed in the old, causing them to appear mutated and become attracted to advertisements on billboards. Those who accepted the 'new truth' inhabited the desert, hunting down those who believed in the old.

Summer, Rick and Morty teleported to this dimension to go on a dangerous adventure, in attempt to escape talking to Jerry Smith.",locations-8-wiki|locations-8-api,ok,
9,Purge Planet,Purge Planet,https://rickandmorty.fandom.com/wiki/Purge_Planet,"The Purge Planet is an unnamed planet that appeared in the episode ""Look Who's Purging Now"". It is a planet that exists in the Dimension C-131, and is the home of the Magdalians. On this planet, everyone is very blissful and happy toward everyone because every year there is a purge, where all laws are suspended for the night and everyone is free to kill whoever they want, releasing their anger without consequences.",locations-9-wiki|locations-9-api,ok,
10,Venzenulon 7,Venzenulon 7,https://rickandmorty.fandom.com/wiki/Venzenulon_7,"Venzenulon 7 is a planet in the Venzenulon planetary system. It orbits its star at a distance which makes it able to sustain life and water. It hold a very similar appearance to Venzenulon 9, but does not experience the extreme night cold found on Venzenulon 9.

The planet is inhabited by a race of blue- and yellow-colored birds and a large woolly race of creatures, one of which was named Beebo. The planet appears mountainous, with grass covering most flat surfaces. Bushes and trees can also be seen here, while the animal population appears low.

In ""Morty's Mind Blowers"", Morty sees a memory where he and Rick were stuck in this planet, but Rick was convinced they were on Venzenulon 9. As night fell, Rick began panicking due to the extreme night cold on Venzenulon 9, leading him to kill Beebo and use its body for shelter. Soon after, Rick realized they were in fact on Venzenulon 7 and not in any danger.",locations-10-wiki|locations-10-api,ok,
